,0
0,3e-05
1,3.0143895883772128e-05
2,3.0288547249203712e-05
3,3.0433958178322897e-05
4,3.0580133417470155e-05
5,3.072707571198271e-05
6,3.087479022663514e-05
7,3.1023281853243494e-05
8,3.117255548362381e-05
9,3.132261554332864e-05
10,3.14734659324574e-05
11,3.162511099799329e-05
12,3.177755510544175e-05
13,3.1930802864431276e-05
14,3.208485884228915e-05
15,3.223972754751595e-05
16,3.239541353904869e-05
17,3.2551921513074466e-05
18,3.2709256082515315e-05
19,3.286742202389029e-05
20,3.302642360999955e-05
21,3.318626598711399e-05
22,3.334695380599603e-05
23,3.3508491769049986e-05
24,3.36708847442804e-05
25,3.383413756230587e-05
26,3.399825507310453e-05
27,3.4163242163930894e-05
28,3.432910375931584e-05
29,3.4495844821066545e-05
30,3.46634703450282e-05
31,3.483198531602352e-05
32,3.500139476843075e-05
33,3.517170378259606e-05
34,3.534291747275288e-05
35,3.551504098702189e-05
36,3.568807950741102e-05
37,3.586203824931728e-05
38,3.6036922422114e-05
39,3.6212737265263994e-05
40,3.638948806756084e-05
41,3.656718014842623e-05
42,3.674581885791e-05
43,3.6925409576690105e-05
44,3.710595771607263e-05
45,3.728746873000572e-05
46,3.74699481131832e-05
47,3.765340138087583e-05
48,3.783783408033143e-05
49,3.802325179082019e-05
50,3.820966012363466e-05
51,3.839706472208978e-05
52,3.858547125019753e-05
53,3.8774885490042935e-05
54,3.896531315857823e-05
55,3.915676004377426e-05
56,3.934923196619075e-05
57,3.9542734779182704e-05
58,3.973727436910679e-05
59,3.993285666241575e-05
60,4.0129487650738646e-05
61,4.0327173337450996e-05
62,4.0525919756951715e-05
63,4.07257329791197e-05
64,4.0926619109580945e-05
65,4.112858428997564e-05
66,4.133163469822533e-05
67,4.153577654880003e-05
68,4.174101609298535e-05
69,4.1947359619149614e-05
70,4.2154813453010995e-05
71,4.236338395790464e-05
72,4.2573077535049806e-05
73,4.278390062638338e-05
74,4.299585973949447e-05
75,4.3208961407461566e-05
76,4.34232121969124e-05
77,4.3638618714866204e-05
78,4.385518760905036e-05
79,4.407292556821711e-05
80,4.4291839322460254e-05
81,4.451193564353186e-05
82,4.47332213451589e-05
83,4.495570328336002e-05
84,4.517938835676217e-05
85,4.5404283506917345e-05
86,4.563039571861925e-05
87,4.585773201936049e-05
88,4.608629945006041e-05
89,4.631610510248933e-05
90,4.6547156124310745e-05
91,4.677945970661093e-05
92,4.7013023084155835e-05
93,4.724785353564803e-05
94,4.7483958383983616e-05
95,4.7721344996509136e-05
96,4.7960020785278536e-05
97,4.819999320731004e-05
98,4.8441269764843106e-05
99,4.868385800559534e-05
100,4.8927765523019406e-05
101,4.917299995656275e-05
102,4.941956899778612e-05
103,4.96674803862205e-05
104,4.9916741903975653e-05
105,5.0167361380517426e-05
106,5.041934669293913e-05
107,5.067270576623287e-05
108,5.092744657356099e-05
109,5.118357713652735e-05
110,5.144110552544878e-05
111,5.1700039859626385e-05
112,5.1960388307616954e-05
113,5.2222159087504294e-05
114,5.248536046717063e-05
115,5.275000076456797e-05
116,5.3016088355546744e-05
117,5.328363167537506e-05
118,5.355263919995104e-05
119,5.3823119456738246e-05
120,5.409508102529007e-05
121,5.4368532537548535e-05
122,5.4643482678143235e-05
123,5.4919940184690166e-05
124,5.519791384809062e-05
125,5.547741251283005e-05
126,5.575844507727696e-05
127,5.604102049398175e-05
128,5.632514776997562e-05
129,5.661083596706942e-05
130,5.6898094224227436e-05
131,5.718693169138334e-05
132,5.747735762922666e-05
133,5.776938132781113e-05
134,5.8063012134291045e-05
135,5.83582594532266e-05
136,5.865513274689126e-05
137,5.895364153558114e-05
138,5.92537953979265e-05
139,5.9555603971205224e-05
140,5.9859076951658286e-05
141,6.016422409480739e-05
142,6.047105521577451e-05
143,6.077958018960356e-05
144,6.108980895512314e-05
145,6.140175153222403e-05
146,6.171541798784886e-05
147,6.203081844748151e-05
148,6.234796309893813e-05
149,6.266686219274404e-05
150,6.298752604251394e-05
151,6.330996502533497e-05
152,6.363418958215307e-05
153,6.396021021816227e-05
154,6.428803750319715e-05
155,6.461768207212833e-05
156,6.49491546252611e-05
157,6.528246592873708e-05
158,6.561762681493903e-05
159,6.595464818289866e-05
160,6.629354099870763e-05
161,6.663431629593154e-05
162,6.697698517602706e-05
163,6.732155881108832e-05
164,6.76680484627947e-05
