,0
0,1e-06
1,1.021486861547121e-06
2,1.0434017152268437e-06
3,1.065752496698059e-06
4,1.088547271114178e-06
5,1.1117942361268327e-06
6,1.1355017247293154e-06
7,1.1596782079840847e-06
8,1.1843322976679964e-06
9,1.2094727488609589e-06
10,1.2351084624976541e-06
11,1.2612484878975317e-06
12,1.2879020252849106e-06
13,1.3150784283083672e-06
14,1.3427872065667381e-06
15,1.3710380281475252e-06
16,1.399840722182356e-06
17,1.4292052814232732e-06
18,1.4591418648429688e-06
19,1.4896608002615595e-06
20,1.5207725870020175e-06
21,1.5524878985761744e-06
22,1.5848175854028624e-06
23,1.6177726775596134e-06
24,1.6513643875691476e-06
25,1.6856041132218119e-06
26,1.7205034404349593e-06
27,1.7560741461502793e-06
28,1.792328201269885e-06
29,1.8292777736320962e-06
30,1.8669352310276468e-06
31,1.905313144257173e-06
32,1.9444242902306193e-06
33,1.9842816551094285e-06
34,2.0248984374921287e-06
35,2.0662880516440754e-06
36,2.1084641307720654e-06
37,2.1514405303444677e-06
38,2.195231331457638e-06
39,2.2398508442492135e-06
40,2.2853136113591097e-06
41,2.331634411438783e-06
42,2.3788282627095597e-06
43,2.4269104265706697e-06
44,2.475896411257733e-06
45,2.5258019755524087e-06
46,2.576643132543855e-06
47,2.6284361534428693e-06
48,2.681197571449253e-06
49,2.7349441856732997e-06
50,2.789693065112105e-06
51,2.84546155268136e-06
52,2.9022672693035604e-06
53,2.9601281180532305e-06
54,3.0190622883600983e-06
55,3.079088260270863e-06
56,3.1402248087704487e-06
57,3.202491008163564e-06
58,3.2659062365172984e-06
59,3.3304901801656526e-06
60,3.3962628382768545e-06
61,3.4632445274842076e-06
62,3.531455886581465e-06
63,3.600917881283512e-06
64,3.6716518090532935e-06
65,3.743679303995777e-06
66,3.817022341819989e-06
67,3.8917032448699815e-06
68,3.967744687225601e-06
69,4.04516969987413e-06
70,4.1240016759535915e-06
71,4.204264376068841e-06
72,4.2859819336813115e-06
73,4.3691788605734206e-06
74,4.4538800523887135e-06
75,4.540110794248678e-06
76,4.62789676644725e-06
77,4.7172640502241795e-06
78,4.808239133618129e-06
79,4.9008489174007855e-06
80,4.995120721092814e-06
81,5.091082289063023e-06
82,5.188761796711682e-06
83,5.288187856739103e-06
84,5.389389525500872e-06
85,5.492396309450484e-06
86,5.597238171670952e-06
87,5.703945538496343e-06
88,5.812549306224537e-06
89,5.923080847922375e-06
90,6.0355720203244695e-06
91,6.150055170827025e-06
92,6.2665631445777125e-06
93,6.38512929166309e-06
94,6.505787474394726e-06
95,6.62857207469568e-06
96,6.753518001587948e-06
97,6.880660698783255e-06
98,7.0100361523776036e-06
99,7.14168089865164e-06
100,7.2756320319778115e-06
101,7.4119272128362275e-06
102,7.55060467594003e-06
103,7.691703238472412e-06
104,7.835262308436233e-06
105,7.981321893118152e-06
106,8.129922607668538e-06
107,8.281105683798839e-06
108,8.434912978597834e-06
109,8.59138698346866e-06
110,8.750570833187921e-06
111,8.912508315088586e-06
112,9.077243878368522e-06
113,9.244822643526038e-06
114,9.415290411924449e-06
115,9.588693675487128e-06
116,9.765079626524921e-06
117,9.944496167697718e-06
118,1.0126991922111978e-05
119,1.0312616243555897e-05
120,1.0501419226874064e-05
121,1.0693451718483862e-05
122,1.0888765327034838e-05
123,1.1087412434213676e-05
124,1.1289446205696052e-05
125,1.1494920602247873e-05
126,1.170389039097755e-05
127,1.1916411156741634e-05
128,1.2132539313705457e-05
129,1.235233211706126e-05
130,1.2575847674905669e-05
131,1.2803144960278713e-05
132,1.3034283823366691e-05
133,1.3269325003870787e-05
134,1.350833014354389e-05
135,1.375136179889783e-05
136,1.3998483454083114e-05
137,1.4249759533943976e-05
138,1.4505255417250403e-05
139,1.476503745010985e-05
140,1.5029172959561518e-05
141,1.5297730267354538e-05
142,1.55707787039136e-05
143,1.5848388622493955e-05
144,1.6130631413528372e-05
145,1.6417579519169007e-05
146,1.67093064480261e-05
147,1.7005886790106852e-05
148,1.7307396231956797e-05
149,1.761391157200623e-05
150,1.7925510736124985e-05
151,1.8242272793387715e-05
152,1.8564277972052854e-05
153,1.889160767575824e-05
154,1.9224344499935856e-05
155,1.9562572248449056e-05
156,1.9906375950455163e-05
157,2.0255841877496096e-05
158,2.0611057560820608e-05
159,2.0972111808940963e-05
160,2.133909472542719e-05
161,2.171209772694215e-05
162,2.2091213561520677e-05
163,2.2476536327095856e-05
164,2.2868161490276174e-05
165,2.3266185905376268e-05
166,2.3670707833705534e-05
167,2.408182696311719e-05
168,2.449964442782169e-05
169,2.4924262828468076e-05
170,2.5355786252496924e-05
171,2.579432029476805e-05
172,2.6239972078467204e-05
173,2.6692850276295222e-05
174,2.7153065131943515e-05
175,2.7620728481859644e-05
176,2.809595377730705e-05
177,2.857885610672229e-05
178,2.9069552218375017e-05
179,2.9568160543333143e-05
180,3.007480121873878e-05
181,3.0589596111398e-05
182,3.111266884168907e-05
183,3.164414480779399e-05
184,3.2184151210256205e-05
185,3.2732817076870685e-05
186,3.329027328790913e-05
187,3.3856652601686215e-05
188,3.443208968047036e-05
189,3.501672111674416e-05
190,3.56106854598193e-05
191,3.6214123242810254e-05
192,3.6827177009971925e-05
193,3.7449991344406e-05
194,3.808271289614099e-05
195,3.8725490410590886e-05
196,3.937847475739725e-05
197,4.00418189596608e-05
198,4.0715678223566635e-05
199,4.1400209968409e-05
200,4.209557385702071e-05
201,4.280193182661241e-05
202,4.351944812002826e-05
203,4.424828931742211e-05
204,4.498862436836085e-05
205,4.574062462436014e-05
206,4.650446387185868e-05
207,4.7280318365636704e-05
208,4.806836686268463e-05
209,4.8868790656527636e-05
210,4.9681773612013094e-05
211,5.050750220056633e-05
212,5.1346165535920935e-05
213,5.21979554103302e-05
214,5.3063066331267014e-05
215,5.394169555861628e-05
216,5.483404314236965e-05
217,5.5740311960826785e-05
218,5.666070775931128e-05
219,5.7595439189407295e-05
220,5.85447178487243e-05
221,5.9508758321197855e-05
222,6.0487778217930654e-05
223,6.148199821858618e-05
224,6.249164211333594e-05
225,6.351693684537388e-05
226,6.455811255400029e-05
227,6.561540261828744e-05
228,6.668904370133077e-05
229,6.777927579509617e-05
230,6.88863422658703e-05
231,7.001048990032154e-05
232,7.11519689521807e-05
233,7.231103318954923e-05
234,7.348793994284296e-05
235,7.468295015338119e-05
236,7.589632842262771e-05
237,7.71283430620948e-05
238,7.83792661439162e-05
239,7.964937355210179e-05
240,8.093894503447844e-05
241,8.224826425533073e-05
242,8.357761884874768e-05
243,8.49273004726853e-05
244,8.6297604863757e-05
245,8.768883189275858e-05
246,8.91012856209385e-05
247,9.053527435702408e-05
248,9.199111071501285e-05
249,9.346911167274033e-05
250,9.496959863123205e-05
251,9.6492897474855e-05
252,9.80393386322718e-05
253,9.960925713821673e-05
254,0.00010120299269609804
255,0.00010282088974144072
256,0.00010446329750617962
257,0.00010613057008381409
258,0.00010782306649543755
259,0.00010954115075665046
260,0.0001112851919453712
261,0.00011305556427055466
262,0.00011485264714183299
263,0.00011667682524008696
264,0.00011852848858896478
265,0.00012040803262735659
266,0.00012231585828284083
267,0.0001242523720461132
268,0.00012621798604641116
269,0.00012821311812794968
270,0.00013023819192737682
271,0.00013229363695226704
272,0.00013437988866066473
273,0.00013649738854168937
274,0.00013864658419722098
275,0.00014082792942467462
276,0.00014304188430088157
277,0.00014528891526709392
278,0.00014756949521512003
279,0.00014988410357461278
280,0.00015223322640152355
281,0.00015461735646773585
282,0.00015703699335189528
283,0.00015949264353145006
284,0.00016198482047592098
285,0.00016451404474141453
286,0.00016708084406639307
287,0.00016968575346872783
288,0.00017232931534403654
289,0.00017501207956533666
290,0.00017773460358402405
291,0.0001804974525321941
292,0.00018330119932632668
293,0.0001861464247723488
294,0.00018903371767209438
295,0.00019196367493118184
296,0.0001949369016683203
297,0.00019795401132607232
298,0.0002010156257830859
299,0.00020412237546781604
300,0.00020727489947375527
301,0.0002104738456761954
302,0.0002137198708505316
303,0.00021701364079214285
304,0.00022035583043785185
305,0.0002237471239890006
306,0.00022718821503615305
307,0.00023067980668544524
308,0.00023422261168661078
309,0.0002378173525626966
310,0.0002414647617414928
311,0.0002451655816887
312,0.00024892056504285443
313,0.0002527304747520312
314,0.00025659608421235594
315,0.00026051817740833434
316,0.0002644975490550394
317,0.00026853500474216616
318,0.0002726313610799814
319,0.00027678744584719826
320,0.0002810040981407896
321,0.00028528216852777435
322,0.000289622519198994
323,0.00029402602412490647
324,0.00029849356921343056
325,0.00030302605246984745
326,0.0003076243841588082
327,0.0003122894869684533
328,0.00031702229617668997
329,0.00032182375981962784
330,0.0003266948388622304
331,0.00033163650737118435
332,0.00033664975269002815
333,0.0003417355756165635
334,0.0003468949905825746
335,0.00035212902583589106
336,0.0003574387236248177
337,0.0003628251403849563
338,0.0003682893469284601
339,0.0003738324286357395
340,0.0003794554856496521
341,0.0003851596330722113
342,0.0003909460011638368
343,0.00039681573554518424
