,0
395,0.00806862712706774
396,0.008248523106110489
397,0.008432301947378418
398,0.008620041907765079
399,0.008811822580434574
400,0.009007724907008106
401,0.00920783118941626
402,0.009412225101277788
403,0.009620991698847848
404,0.009834217431452854
405,0.010051990151444739
406,0.01027439912357298
407,0.01050153503372666
408,0.01073348999714896
409,0.010970357565884723
410,0.011212232735611699
411,0.011459211951617091
412,0.01171139311412563
413,0.011968875582689156
414,0.012231760179788343
415,0.012500149193482784
416,0.012774146379116363
417,0.013053856960005368
418,0.013339387627100824
419,0.013630846537542068
420,0.013928343312036308
421,0.014231989031148485
422,0.014541896230234124
423,0.0148581788930945
424,0.015180952444319011
425,0.01551033374024633
426,0.01584644105840072
427,0.01618939408549707
428,0.01653931390376841
429,0.016896322975869137
430,0.017260545127969096
431,0.017632105531094174
432,0.018011130680793165
433,0.018397748374875105
434,0.018792087689418806
435,0.019194278952587882
436,0.019604453716627467
437,0.020022744727773018
438,0.020449285894037397
439,0.02088421225079811
440,0.021327660190221084
441,0.021779766633381006
442,0.022240669769418332
443,0.022710508754693663
444,0.02318942366698515
445,0.0236775554572346
446,0.024175045898522166
447,0.024682037532938312
448,0.025198673615247667
449,0.025725098054760327
450,0.026261455353943114
451,0.02680789054458867
452,0.027364549121428897
453,0.027931576972831912
454,0.028509120308704873
455,0.029097325586049015
456,0.029696339431289763
457,0.03030630856027253
458,0.03092737969517739
459,0.031559699478762804
460,0.03220341438605338
461,0.03285867063287316
462,0.03352561408233106
463,0.03420439014778927
464,0.03489514369403302
465,0.035598018935193605
466,0.03631315933029077
467,0.037040707476528906
468,0.03778080499943951
469,0.0385335924416513
470,0.039299209148284504
471,0.04007779315083588
472,0.04086948104862593
473,0.04167440788801822
474,0.042492707040108435
475,0.04332451007622953
476,0.04416994664168526
477,0.0450291443280864
478,0.04590222854402144
479,0.04678932238453928
480,0.0476905464993089
481,0.04860601895961645
482,0.04953585512505654
483,0.050480167508388234
484,0.05143906564122548
485,0.052412655938319695
486,0.05340104156198627
487,0.05440432228665688
488,0.05542259436367735
489,0.05645595038625429
490,0.05750447915522931
491,0.05856826554575901
492,0.05964739037494271
493,0.06074193027063384
494,0.061851957542104076
495,0.06297754005205655
496,0.06411874109099443
497,0.06527561925343335
498,0.0664482283168478
499,0.06763661712318235
500,0.06884082946307865
501,0.07006090396378774
502,0.07129687397973163
503,0.07254876748753823
504,0.07381660698391043
505,0.07510040938839446
506,0.07640018595019044
507,0.07771594215937239
508,0.07904767766261027
509,0.08039538618437407
510,0.08175905545288817
511,0.08313866713142241
512,0.08453419675505076
513,0.08594561367289014
514,0.08737288099708673
515,0.08881595555647488
516,0.09027478785729982
517,0.09174932204974097
518,0.0932394959013681
519,0.09474524077578564
520,0.09626648162010455
521,0.09780313695652211
522,0.09935511888255584
523,0.10092233307764727
524,0.10250467881564418
525,0.10410204898532548
526,0.10571433011750865
527,0.10734140241861015
528,0.10898313981167286
529,0.11063940998380872
530,0.11231007444097439
531,0.11399498856823113
532,0.11569400169859333
533,0.11740695718692835
534,0.119133692490996
535,0.12087403925861616
536,0.122627823421607
537,0.12439486529493472
538,0.12617497968277755
539,0.12796797598974782
540,0.12977365833766477
541,0.13159182568844238
542,0.13342227197175668
543,0.13526478621713212
544,0.13711915242980313
545,0.13898515052525867
546,0.14086255568398137
547,0.14275113876420198
548,0.14465066645653055
549,0.1465609014419237
550,0.14848160255321566
551,0.1504125249396074
552,0.1523534202340136
553,0.15430403672293633
554,0.15626411951863006
555,0.15823341073322908
556,0.16021164965473458
557,0.16219857292391385
558,0.1641939147139726
559,0.16619740690822069
560,0.1682087792819785
561,0.17022775968127446
562,0.17225407420488195
563,0.17428744738397256
564,0.17632760236204292
565,0.17837426107445775
566,0.18042714442756683
567,0.18248597247462256
568,0.1845504645937664
569,0.18662033965996233
570,0.18869531622053987
571,0.1907751126651107
572,0.19285944739313335
573,0.1949480389831576
574,0.1970406063545004
575,0.1991368687861017
576,0.20123654625215595
577,0.20333935961321553
578,0.20544503068535167
579,0.20755328239521167
580,0.2096638389221418
581,0.2117764258368466
582,0.2138907702420243
583,0.21600660090395832
584,0.2181236483817731
585,0.22024164515269887
586,0.22236032573378037
587,0.2244794267969585
588,0.22659868728548813
589,0.22871784851914542
590,0.23083665429916586
591,0.23295485101193905
592,0.23507218772242156
593,0.2371884162616673
594,0.23930329132167655
595,0.24141657053643392
596,0.2435280145544871
597,0.245637387120517
598,0.24774445514354823
599,0.24984898876245604
600,0.25195076140517136
601,0.254049549851628
602,0.25614513428376007
603,0.2582372983367113
604,0.26032582914289654
605,0.2624105173759194
606,0.2644911572869047
607,0.26656754674032157
608,0.2686394872397804
609,0.2707067839640556
610,0.27276924577849376
611,0.2748266852675062
612,0.2768789187410329
613,0.2789257662531667
614,0.28096705161085417
615,0.28300260238061037
616,0.2850322498910387
617,0.28705582923654016
618,0.289073179278023
619,0.2910841426295474
620,0.2930885656622756
621,0.29508629848652485
622,0.29707719494331325
623,0.2990611125890777
624,0.3010379126799731
625,0.30300746015311464
626,0.3049696236022902
627,0.30692427525917537
628,0.30887129096964355
629,0.3108105501638287
630,0.312741935826608
631,0.31466533447325185
632,0.31658063611296616
633,0.3184877342193473
634,0.3203865256969548
635,0.32227691084496796
636,0.32415879331525455
637,0.326032080080569
638,0.32789668139820555
639,0.3297525107632359
640,0.3315994848725736
641,0.3334375235797778
642,0.33526654986004206
643,0.33708648975839206
644,0.3388972723491837
645,0.3406988296948013
646,0.34249109680394335
647,0.3442740115753457
648,0.34604751476288503
649,0.34781154992202806
650,0.3495660633705484
651,0.3513110041398002
652,0.35304632392609164
653,0.3547719770484569
654,0.3564879203972648
655,0.3581941133900372
656,0.3598905179254876
657,0.36157709833424445
658,0.36325382133332923
659,0.36492065598191775
660,0.36657757363160626
661,0.36822454788056835
662,0.3698615545340908
663,0.3714885715469862
664,0.37310557898843677
665,0.3747125589906554
666,0.37630949571063693
667,0.3778963752742662
668,0.37947318574427863
669,0.38103991707140783
670,0.3825965610501848
671,0.38414311127471834
672,0.38567956310016377
673,0.3872059135994575
674,0.3887221615175833
675,0.39022830723695634
676,0.3917243527330988
677,0.3932103015304645
678,0.39468615867343104
679,0.3961519306775681
680,0.3976076254954172
681,0.39905325247607654
682,0.40048882233088046
683,0.40191434709187995
684,0.4033298400788416
685,0.40473531586561473
686,0.40613079023663945
687,0.40751628016146935
688,0.408891803753002
689,0.4102573802387583
690,0.4116130299281012
691,0.41295877417352594
692,0.41429463534816635
693,0.4156206368056407
694,0.416936802855294
695,0.4182431587279598
696,0.41953973054620847
697,0.4208265453012648
698,0.4221036308184434
699,0.42337101572955504
700,0.4246287294476429
701,0.4258768021380637
702,0.42711526469589844
703,0.4283441487114177
704,0.4295634864573053
705,0.43077331085439
706,0.43197365545123995
707,0.43316455439586105
708,0.43434604241991454
709,0.4355181548070618
710,0.4366809273830112
711,0.4378343964803192
712,0.4389785989264992
713,0.44011357201820794
714,0.4412393535005416
715,0.4423559815535718
716,0.4434634947657072
717,0.44456193211883
718,0.44565133296986603
719,0.44673173702628266
720,0.4478031843401152
721,0.4488657152815895
722,0.44991937052476916
723,0.4509641910298697
724,0.4520002180344861
725,0.4530274930262902
726,0.45404605773803786
727,0.45505595412613414
728,0.4560572243599191
729,0.45704991080947244
730,0.458034056023502
731,0.45900970272991165
732,0.4599768938056092
