,0
199,4.7677242005081025e-05
200,4.7799816380011174e-05
201,4.792281996529729e-05
202,4.804625441738719e-05
203,4.817012143780651e-05
204,4.829442271996479e-05
205,4.841915996464593e-05
206,4.8544334880036476e-05
207,4.8669949181754006e-05
208,4.879600459287574e-05
209,4.892250284396721e-05
210,4.904944567311113e-05
211,4.917683482593637e-05
212,4.9304672055647136e-05
213,4.94329591230522e-05
214,4.956169779659438e-05
215,4.969088985238009e-05
216,4.982053707420905e-05
217,4.995064125360416e-05
218,5.0081204189841525e-05
219,5.021222768998056e-05
220,5.034371356889433e-05
221,5.0475663649960534e-05
222,5.060807977100359e-05
223,5.0740963773637976e-05
224,5.0874317505812604e-05
225,5.1008142823550584e-05
226,5.114244159098448e-05
227,5.127721568039178e-05
228,5.141246697223056e-05
229,5.1548197355175423e-05
230,5.1684408726153585e-05
231,5.1821102990381174e-05
232,5.195828206139981e-05
233,5.209594786111334e-05
234,5.223410231982475e-05
235,5.2372747376273424e-05
236,5.251188497767246e-05
237,5.265151707974631e-05
238,5.279164564676856e-05
239,5.2932272651599995e-05
240,5.307340007572678e-05
241,5.321502990929896e-05
242,5.335716415116911e-05
243,5.3499804808931206e-05
244,5.364295389895969e-05
245,5.3786613446448833e-05
246,5.393078548545217e-05
247,5.407547205892229e-05
248,5.422067521875076e-05
249,5.436639702580825e-05
250,5.451263955360689e-05
251,5.465940488896253e-05
252,5.480669512175772e-05
253,5.495451235096884e-05
254,5.5102858684879415e-05
255,5.525173624112636e-05
256,5.540114714674629e-05
257,5.5551093538222304e-05
258,5.570157756153099e-05
259,5.5852601372189717e-05
260,5.600416713530422e-05
261,5.6156277025616506e-05
262,5.6308933227553025e-05
263,5.646213793527309e-05
264,5.66158933527177e-05
265,5.677020169365854e-05
266,5.692506518174733e-05
267,5.708048605056545e-05
268,5.723646654367388e-05
269,5.7393008914663344e-05
270,5.7550115427204907e-05
271,5.770778835510068e-05
272,5.7866029982334945e-05
273,5.802484260312551e-05
274,5.8184228521975374e-05
275,5.834419005372467e-05
276,5.850472952360297e-05
277,5.86658492672817e-05
278,5.882755163068061e-05
